CrashName,TimeStamp,Weather,RoadwaySurface,RoadwayCondition,Lighting
CR-0000089828,2/19/22,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000090339,4/7/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000090341,4/16/22,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000090539,3/2/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000090540,5/4/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091018,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091019,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091020,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091021,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085219,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085220,1/1/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085222,1/1/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085225,1/2/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085228,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085218,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085223,1/2/21,Cloudy,Wet,No Unusual Conditions,Daylight
CR-0000085229,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085232,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085233,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085235,1/3/21,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085240,1/3/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000091022,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091023,3/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091024,3/21/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091030,3/2/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091032,3/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091039,2/22/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091041,3/14/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091044,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091045,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091046,3/19/22,Rain,Wet,No Unusual Conditions,Daylight
CR-0000091047,3/20/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091048,3/22/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085245,1/4/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085247,1/4/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085248,1/4/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085254,1/5/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085230,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085231,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085237,1/3/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085242,1/4/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085243,1/4/21,Rain,Wet,No Unusual Conditions,Daylight
CR-0000085246,1/4/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085249,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085236,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091049,3/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085238,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085239,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085244,1/4/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085250,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085251,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085257,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085260,1/6/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085224,1/2/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085270,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085271,1/8/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085272,1/9/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085273,1/9/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085234,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091082,2/28/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091083,3/4/22,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000091084,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091086,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091087,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085252,1/5/21,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000085253,1/5/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085255,1/5/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085258,1/5/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085259,1/6/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085262,1/6/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085263,1/6/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085256,1/5/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085265,1/7/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085267,1/7/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085268,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085269,1/7/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085261,1/6/21,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091085,3/12/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091088,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091089,3/12/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091090,3/12/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091091,3/13/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091092,3/13/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091093,3/13/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091094,3/13/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091095,3/14/22,Clear,Wet,No Unusual Conditions,Daylight
CR-0000091096,3/14/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091097,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091098,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091099,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085412,1/10/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085419,1/7/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085421,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085425,1/8/21,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000085417,1/2/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085422,1/8/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085427,1/8/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085415,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085416,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085420,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085424,1/8/21,Clear,Dry,Holes Deep Rut,Daylight
CR-0000085426,1/8/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091100,3/14/22,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000091101,2/28/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091103,2/28/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091105,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091106,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091104,3/15/22,Rain,Wet,No Unusual Conditions,Daylight
CR-0000091107,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091108,3/15/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091109,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091111,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091112,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091110,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091113,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091115,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091114,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091116,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091117,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091118,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091119,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091120,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091123,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091125,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091126,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091128,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085429,1/9/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085431,1/9/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085433,1/9/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085435,1/10/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085442,1/11/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085447,1/11/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085436,1/10/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085450,1/12/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085458,1/13/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091129,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091131,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091132,2/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091133,2/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091134,2/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091135,2/20/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091136,2/20/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091137,2/20/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091138,2/20/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091139,2/20/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091140,2/20/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091141,2/20/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085460,1/13/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085472,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085428,1/9/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085432,1/9/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085437,1/10/21,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085440,1/11/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085451,1/12/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085453,1/12/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085430,1/9/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085438,1/10/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085443,1/11/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085444,1/11/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091144,2/21/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091145,2/21/22,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000091146,2/21/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091147,2/21/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091148,2/21/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091149,2/21/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091150,2/21/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091151,2/21/22,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000091152,2/22/22,Clear,Slippery (Muddy Oily etc.),Loose Material On Roadway,Dark - No Street Light
CR-0000091153,2/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091154,2/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091155,2/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085445,1/11/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085446,1/11/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085452,1/12/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085455,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085459,1/13/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085461,1/13/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085463,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085465,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085469,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085470,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085474,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085480,1/15/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085454,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091156,2/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091157,2/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091158,2/22/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091159,2/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091160,2/22/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091161,2/22/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091163,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091164,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091165,2/27/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091166,2/27/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091167,2/27/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091168,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091179,2/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085456,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085464,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085466,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085479,1/15/21,Clear,Wet,No Unusual Conditions,Daylight
CR-0000085481,1/15/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085485,1/15/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085489,1/16/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085492,1/17/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085477,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085478,1/15/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085482,1/15/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085497,1/17/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091180,2/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091181,2/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091182,2/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091183,2/25/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091184,2/25/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091185,2/25/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091188,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091189,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091190,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091191,2/27/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091193,3/17/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091194,3/17/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091195,3/17/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091197,3/17/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085502,1/18/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085504,1/18/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085512,1/19/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085514,1/19/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085519,1/2/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085487,1/16/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085490,1/16/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085498,1/17/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085525,1/21/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085501,1/18/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085503,1/18/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085507,1/18/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091206,3/17/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091207,3/18/22,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091208,3/18/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091209,3/18/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091210,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091211,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091212,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091213,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091214,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091215,3/18/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091216,3/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091217,3/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091218,3/19/22,Cloudy,Wet,No Unusual Conditions,Daylight
CR-0000085508,1/18/21,Wind,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085511,1/19/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085513,1/19/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085517,1/20/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085518,1/20/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085520,1/20/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085493,1/17/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085494,1/17/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085495,1/17/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085496,1/17/21,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000091219,3/20/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091220,3/20/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091221,3/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091222,3/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091223,3/22/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091224,3/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091225,3/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091226,3/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091227,3/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091228,3/23/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091229,3/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091230,3/25/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091231,3/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091232,3/25/22,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085457,1/13/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085462,1/13/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085467,1/13/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085471,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085473,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085475,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085476,1/14/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085484,1/15/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085486,1/15/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085491,1/16/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085505,1/18/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085515,1/20/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085524,1/21/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091234,3/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091235,3/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091236,3/28/22,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000091237,3/29/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091238,3/29/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091239,3/29/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091240,3/29/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091241,3/29/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091242,3/30/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091244,3/30/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091243,3/30/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091245,3/30/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091246,3/31/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091247,3/31/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091259,3/11/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091261,3/16/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091299,3/16/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091298,3/3/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091300,3/17/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091301,3/10/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091302,3/13/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091303,3/14/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091304,3/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085529,1/21/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085535,1/22/21,Cloudy,Wet,No Unusual Conditions,Daylight
CR-0000085539,1/13/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085540,1/18/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085541,1/19/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085542,1/20/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085506,1/18/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085516,1/20/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085527,1/21/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000091305,3/25/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091306,3/27/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091316,3/13/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091317,3/11/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091318,3/11/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091337,3/11/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091338,3/11/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091339,3/10/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091340,3/9/22,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000091341,3/8/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091342,3/7/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091343,3/6/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091344,3/5/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091345,3/5/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085536,1/22/21,Cloudy,Wet,No Unusual Conditions,Daylight
CR-0000085543,1/20/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085547,1/21/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085548,1/22/21,Rain,Wet,No Unusual Conditions,Daylight
CR-0000085556,1/23/21,Clear,Wet,No Unusual Conditions,Dark - Street Light
CR-0000085533,1/22/21,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085534,1/22/21,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000085537,1/9/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085538,1/13/21,Clear,Dry,Obstruction On Roadway,Daylight
CR-0000085526,1/21/21,Cloudy,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085546,1/21/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085555,1/22/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085559,1/23/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091346,3/4/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091347,3/4/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091349,3/3/22,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091350,3/3/22,Rain,Wet,No Unusual Conditions,Daylight
CR-0000091351,3/2/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091373,2/23/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091374,2/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091375,2/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091376,3/2/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091379,3/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091389,2/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091390,2/23/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085571,1/24/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085573,1/24/21,Rain,Wet,No Unusual Conditions,Daylight
