CrashName,TimeStamp,Weather,RoadwaySurface,RoadwayCondition,Lighting
CR-0000068144,7/4/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063448,9/20/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063648,10/1/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063433,9/20/16,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000039779,7/24/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039160,8/11/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039670,7/19/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039795,7/25/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000039788,7/25/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052360,10/17/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052488,10/27/14,Clear,Dry,Reduced Roadway Width,Daylight
CR-0000047278,11/23/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000047260,11/23/13,Clear,Dry,Construction - Repair Zone,Daylight
CR-0000046603,9/26/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000051448,8/16/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000046753,11/2/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000034488,10/8/11,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000055844,6/3/15,Clear,Dry,No Unusual Conditions,Daylight
CR-0000042279,1/4/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000053882,1/17/15,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000051606,9/4/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041822,12/6/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063701,10/5/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063698,10/5/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063795,10/9/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063778,10/8/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068540,8/4/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063775,10/8/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063668,10/3/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068789,6/28/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063658,10/2/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000069751,7/23/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000051987,9/16/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039721,5/29/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068381,7/24/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068362,7/30/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063626,9/30/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052481,10/28/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052474,10/28/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052460,10/26/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000046699,10/10/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039077,7/2/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000051656,9/10/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047294,11/24/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047253,11/22/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000041717,12/4/12,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000052626,10/31/14,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000047185,10/22/13,Clear,Dry,Construction - Repair Zone,Daylight
CR-0000047144,11/17/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047258,11/23/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041849,12/8/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000040651,7/1/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000059689,3/6/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000060752,4/14/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047175,10/22/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068314,7/16/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063992,10/26/16,Clear,Wet,No Unusual Conditions,Dusk - Dawn
CR-0000064128,10/14/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068445,7/29/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068429,7/28/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064113,10/13/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039599,8/24/12,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000063617,9/30/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063654,10/2/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063742,10/7/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063517,8/29/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068693,7/1/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068687,7/1/17,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000040643,8/8/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000040636,8/7/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052645,11/1/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000041836,12/7/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047180,10/22/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063836,10/11/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068379,7/24/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064162,10/29/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000069720,7/21/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000046756,11/2/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000040563,9/23/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000039159,8/11/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000039719,8/6/12,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000047228,10/23/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052699,11/10/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052692,11/10/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000051619,9/5/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047284,11/24/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000047262,10/24/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047128,11/16/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068252,7/12/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068226,7/10/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068160,7/5/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068323,7/17/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063670,10/3/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063720,10/6/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063715,10/6/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000069705,7/19/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000040562,9/23/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000034973,11/12/11,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000052683,11/9/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000042309,10/15/12,Clear,Dry,No Unusual Conditions,Daylight
CR-0000066696,3/28/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000047265,10/24/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000047109,11/13/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052436,10/27/14,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000047188,11/20/13,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000047241,11/22/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063700,10/5/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064442,11/3/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000052644,11/1/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052576,10/29/14,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063901,10/20/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068225,7/10/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000059094,11/13/15,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000031892,4/25/11,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000076343,1/19/19,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000069378,9/24/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000036470,1/30/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000059386,1/29/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000061498,5/29/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052419,10/24/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000041664,12/1/12,Cloudy,Wet,No Unusual Conditions,Dusk - Dawn
CR-0000037189,3/12/12,Rain,Wet,No Unusual Conditions,Daylight
CR-0000048813,1/28/14,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000043168,2/24/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063814,10/10/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068553,8/5/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064067,10/21/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068291,7/15/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068541,8/4/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068502,8/1/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000064129,10/14/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000072318,4/27/18,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000036289,1/21/12,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000052919,11/24/14,Clear,Dry,No Unusual Conditions,Daylight
CR-0000068340,7/18/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063687,10/4/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063798,10/9/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063755,10/7/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063915,10/16/16,Cloudy,Wet,No Unusual Conditions,Dark - Street Light
CR-0000063908,10/16/16,Rain,Dry,No Unusual Conditions,Daylight
CR-0000068505,8/1/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000047917,12/27/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000042740,1/28/13,Clear,Dry,No Unusual Conditions,Daylight
CR-0000057172,8/28/15,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064961,9/21/16,Clear,Dry,No Unusual Conditions,Daylight
CR-0000062534,8/1/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000047249,11/22/13,Clear,Wet,No Unusual Conditions,Dark - No Street Light
CR-0000068622,8/11/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064315,11/10/16,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068574,8/7/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068569,8/6/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000063945,10/16/16,Rain,Wet,Construction - Repair Zone,Dark - Street Light
CR-0000068321,7/17/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000064201,10/31/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000034433,10/2/11,Clear,Dry,No Unusual Conditions,Daylight
CR-0000053238,12/12/14,Rain,Wet,No Unusual Conditions,Daylight
CR-0000065759,1/31/17,Clear,Dry,No Unusual Conditions,Daylight
CR-0000029579,1/25/11,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000052841,11/5/14,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000046730,10/12/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000039634,7/21/12,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000041815,12/6/12,Clear,Slippery (Muddy Oily etc.),No Unusual Conditions,Daylight
CR-0000041810,12/5/12,Rain,Wet,No Unusual Conditions,Daylight
CR-0000041679,12/2/12,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000047242,11/22/13,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000068440,7/29/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000057246,9/4/15,Clear,Dry,No Unusual Conditions,Daylight
CR-0000033020,7/26/11,Clear,Dry,No Unusual Conditions,Daylight
CR-0000057474,9/19/15,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000063837,10/11/16,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000067360,5/14/17,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000053917,1/23/15,Clear,Dry,No Unusual Conditions,Daylight
